Cutter,Titulo,Descricao,Ano,Autores,Paginas,ISBN,Idioma,Src,bandeja,coluna,estante
A646m,Introdução à metodologia da ciência, Afirma que as Ciências Sociais precisam de uma metodologia que atenda às próprias necessidades de pesquisa e de análise. A dialética seria então a melhor forma de captar as particularidades de qualquer realidade social. Mostra que a construção científica é também um fenômeno social e evidencia que a ideologia é parte integrante da ciência., 1985," Demo, Pedro e  Pedro", 118, 85-2241-554-4, Português,http://arquivos.biblioceeteps.com.br/d/22703.jpg?v=201420060930&w=320,4,3,1
B688,Boletim Técnico da Faculdade de Tecnologia de São Paulo - Dezembro, Divulgação de trabalhos de científicos e tecnológicos realizados por docentes e discentes das FATECs nas áreas de diversos cursos., 2010, Centro Paula Souza,, 15189082, Português,http://arquivos.biblioceeteps.com.br/d/43406.jpg?v=201425090736&w=320,4,3,1
C419m,Fundamentos de metodologia científica," Este texto se apresenta como uma introdução geral às disciplinas Metodologia Científica e Métodos e Técnicas de Pesquisa, enfocando procedimentos didáticos, aspectos do conhecimento científico, técnicas de pesquisa e aspectos metodológicos dos trabalhos tanto escolares quanto científicos. O estilo das autoras é claro, simples e objetivo, apresentando de forma didática um conteúdo temático rico, essencial hoje em dia à atuação dos diferentes especialistas em suas áreas de pesquisa, dos profissionais em seu campo de ação e dos estudantes em seus cursos de formação. Demonstra que, apesar da existência de uma adaptação mútua entre teorias e instrumentos utilizados para enunciá-las, a metodologia científica não se perde no estudo abstrato das primeiras, mas evidencia sua formação a passos concretos.", 2009, Eva Maria Lakatos e Marina de Andrade Marconi, 315, 978-85-2244-015-3, Português,http://arquivos.biblioceeteps.com.br/d/4247.jpg?v=201029030215&w=320,4,3,1
C923p,Introdução ao projeto de pesquisa científica," O autor descreve, de modo sumário, o que é a pesquisa, quais as bases lógicas sobre as quais ela se assenta e o significado e modalidades da observação. Explica o que é pesquisa experimental e pesquisa descritiva. Diz quais os momentos e processos que a compõem. Faz indicações práticas e apresenta um modelo didático de Projeto de Pesquisa a ser elaborado por quem pretende efetivá-la.", 1999," Rudio, Franz Victor e  Franz Victor", 144, 978-85-3260-027-1, Português,http://arquivos.biblioceeteps.com.br/d/22902.jpg?v=201412061022&w=320,4,3,1
C975d,O dilema da pesquisa," O objetivo deste livro é o de registrar as orientações dadas para elaboração de projetos de pesquisa aos alunos de graduação na disciplina Teoria e Método de Pesquisa em Comunicação. Inicialmente, discute-se a necessidade de se definir a vertente epistemológica de que derivam as teorias, os conceitos e fatos fundamentais para a pesquisa que se pretende realizar dentro da universidade. Esta tem hoje novas responsabilidades, no sentido de preparar-se para transformar a cena pedagógica, abrindo-se para o exterior, com cuidado, para não estar a serviço de qualquer interesse. A seguir, aborda as questões mais específicas da elaboração de um projeto de pesquisa, passando pelas fontes de financiamento, pelo processo de avaliação dos cientistas, e em entrevistas com pesquisadores. Complementando o texto, apresenta-se uma seleção de trabalhos desenvolvidos por alunos da disciplina, bem como uma série de resenhas de obras escolhidas pra melhor demonstrar o que se pretendeu elucidar.", 2010," Cury, Lucilene e  Lucilene", 147, 978-85-3140-961-5, Português,http://arquivos.biblioceeteps.com.br/d/23658.jpg?v=201420060947&w=320,4,3,1
D383i,Introdução à metodologia da ciência, Afirma que as Ciências Sociais precisam de uma metodologia que atenda às próprias necessidades de pesquisa e de análise. A dialética seria então a melhor forma de captar as particularidades de qualquer realidade social. Mostra que a construção científica é também um fenômeno social e evidencia que a ideologia é parte integrante da ciência., 1985," Demo, Pedro e  Pedro", 118, 85-2241-554-4, Português,http://arquivos.biblioceeteps.com.br/d/22703.jpg?v=201420060930&w=320,4,3,1
D383m,Metodologia do conhecimento científico," Discute a dinâmica metodológica do conhecimento científico, em seu ambiente pós-moderno, sugerindo caminhos de como fazer textos, teses, ensaios, pesquisas. Sumário: Definindo o conhecimento científico; Conhecimento científico e complexidade; Dinâmica da reconstrução e da desconstrução; Dialética do conhecimento científico; Positivismo e formalização; Pesquisa qualitativa; Reconstruir conhecimento; Testando fronteiras. PEDRO DEMO é professor da Universidade de Brasília (DF). ''.", 2000," Demo, Pedro e  Pedro", 216, 85-2242-647-3, Português,http://arquivos.biblioceeteps.com.br/d/22732.jpg?v=201409060244&w=320,4,3,1
E19c,Como Se Faz Uma Tese," A tese é como um porco: nada se desperdiça"". Reunindo uma sólida erudição, exposta de maneira didática, a um senso de humor que tudo ilumina, Umberto Eco é o autor mais indicado para a árdua e indispensável tarefa de ensinar como se faz uma tese.Neste manual prático, Eco vale-se de sua enorme experiência acadêmica para esquadrinhar desde os aspectos básicos de uma tese (a escolha do tema e do orientador, as técnicas de pesquisa e fichamento) até as regras de sua redação (chegando mesmo a minúcias de diagramação). Em 19ª edição, capaz de interessar mesmo aos que não têm para ele um uso prático, esse livro segue firme comprovando sua ousada afirmação: ""fazer uma tese significa divertir-se"".", 2008, Umberto Eco, 174, 978-85-2730-079-7, Português,http://arquivos.biblioceeteps.com.br/d/35523.jpg?v=201425070730&w=320,4,3,1
G463c,Como Elaborar Projetos de Pesquisa," Este livro proporciona a estudantes e profissionais os elementos necessários para a elaboração de projetos de pesquisa nos mais diversos campos do conhecimento.Em sua elaboração, o autor foi guiado por dupla preocupação. Prmeiramente, apresentar asos iniciantes, de maneira simples e acessível, os elemento necessários para a elaboração de projetos de pesquisa. Em segundo lugar, garantir ao profissional de pesquisa, bem como aos estudantes dos níveis mais avançados, inclusive dos cursos de pós-graduação, condições para a organização de conhecimentos dispersos, obtidos aolongo da vida acadêmica ou do contato direto com a prática de pesquisa.O livro é de caráter eminentemente prático, já que esclarece acerca dos proedimentos a serem adotados para a elabroação de projetos referentes aos mais diversos tipos de pesquisa, como pesquisa bibliogrática, pesquisa documental, pesquisa ""ex-post-facto"", levantamento, estudo de caso, pesquisa-ação e pesquisa participante.A despeito de seu caráter prático, o livro está longe de ser um ""receituário""; procura, ao longo de seus capítulos, tratar das mais diversas implicações teóricas que envolvem o processo de criação científica.", 2010, ANTONIO CARLOS GIL, 184, 978-85-2245-823-3, Português,http://arquivos.biblioceeteps.com.br/d/20714.jpg?v=201416041041&w=320,4,3,1
G635c,Conversas Sobre Iniciação à Pesquisa Científica," Trata-se de uma síntese sobre a construção e apresentação de um projeto de pesquisa, além de ser um ponto de referência para aqueles alunos que, pela primeira vez, pretendem descobrir os caminhos da ciência. Numa linguagem simples e objetiva - sem perder a profundidade e o rigor no tratamento dado ao tema - este livro configura-se como um material enxuto, didático e vigoroso. Sob a inspiração de filósofos, sociológos e neurocientistas como Michel Maffesoli, Humberto Maturana, Francisco Varela e Antonio Damásio, supera a figura de um 'manual clássico' para a organização de um projeto de pesquisa, quando introduz desconfianças e elementos próprios do cenário pós-moderno.", 2007, Elisa Pereira Gonsalves, 93, 978-85-7516-206-4, Português,http://arquivos.biblioceeteps.com.br/d/20529.jpg?v=201414040254&w=320,4,3,1
J16m,Metodologia do trabalho acadêmico," O principal objetivo desta obra é oferecer subsídios básicos para a elaboração e a apresentação de um trabalho acadêmico, que pode ser tanto um simples trabalho de uma disciplina de um curso de graduação, quanto uma tese de doutorado.É evidente que dentro de cada tipo de trabalho solicitado, muitos tópicos podem ser eliminados e outros podem ser acrescidos, dependendo da orientação do professor ou do orientador.Ressaltamos, ainda, que na parte das “Normas de Referências Bibliográficas” incluímos a referência e a citação de fontes eletrônicas como CD-ROM e Internet, recursos cada vez mais usados no meio acadêmico para divulgação de trabalhos científicos. Neste contexto, este livro procura desenvolver, com simplicidade e modernidade, a elaboração de um trabalho acadêmico comumente solicitado no ambiente universitário.Se algumas situações não forem encontradas neste manual, o acadêmico deve buscá-lo em outras fontes, algumas delas colocadas nas referências bibliográficas deste livro.É certo que muitos compêndios de metodologia cientifica tratam destes assuntos, porém, entendemos que, através deste livro, estamos trazendo uma contribuição moderna e atual para aprimoramento dos trabalhos acadêmicos realizados pelo aluno.", 2000, Malcon Anderson Tafner, 171, 85-7394-177-4, Português,http://arquivos.biblioceeteps.com.br/d/3264.jpg?v=200821021032&w=320,4,3,1
M321m,Metodologia do Trabalho Científico," Este livro te por objetivo apresentar aos estudantes e universitários alguns subsídios teóricos e práticos para o enfrentamento das várias tarefas que lhes serão solicitadas ao longo do desenvolvimento do processo ensino/aprendizagem de sua formação acadêmica. Trata-se, pois, de uma iniciação teórica, metodológica e prática ao trabalho científico a ser desencadeado desde o início de sua vida universitária. Mas, pela sua própria natureza é também eficiente ferramenta para o trabalho docente em sua interface com a aprendizagem dos alunos, podendo configurar-se como um bom roteiro para a intervenção didático-pedagógica dos professores, quaisquer que sejam suas áreas ou matérias de ensino. Além dos elementos conceituais que definem e explicam a natureza do conhecimento científico, são apresentadas diretrizes para o entendimento e a aplicação das atividades lógicas e técnicas relacionadas com a prática científica. Com esses instrumentos, os estudantes e professores poderão conseguir maior aprofundamento na ciência, nas artes e na filosofia, o que, afinal, é o objetivo central do ensino e da aprendizagem na Universidade.", 1996," Severino, Antônio Joaquim", 272, 85-2490-050-4, Português,http://arquivos.biblioceeteps.com.br/d/133964.jpg?v=201821080152&w=320,4,3,1
N842,Manual de Normalização de Trabalhos Acadêmicos," O manual de de normalização expõe uma padronização a partir das normalizações da Associação Brasileira de Normas Técnicas -ABNT, tem como objetivo apoiar os alunos e professores da faculdade de tecnologia de Itapetininga para elaboração dos diversos tipos de trabalhos acadêmicos exigidos  pela rotina das atividades de ensino  e pesquisa.", 2008, Eva Fagundes Weber  e Lauro Carvalho de Oliveira, 66, 978-85-8957-708-3, Português,http://arquivos.biblioceeteps.com.br/d/16608.jpg?v=201515070239&w=320,4,3,1
P149,Planejar Gêneros Acadêmicos," Depois de terem publicado Resumo e Resenha, neste terceiro volume, Planejar gêneros acadêmicos, as autoras se concentram nas sugestões gerais de produção de diferentes gêneros acadêmicos/científicos, naquilo que eles têm em comum. Elas consideram justamente que, antes de qualquer produção acadêmica/científica, há um trabalho anterior a ser desenvolvido que envolve uma série de atividades. Se essas atividades não forem bem executadas, dificilmente se chegará a um produto final adequado.Essas atividades envolvem as capacidades referentes à busca de temas relevantes para a área em que o trabalho se insere, ao levantamento e à formulação das questões e dos objetivos da pesquisa, à capacidade de construir representações adequadas sobre o contexto de produção e à capacidade de planejamento, tanto da organização global quanto dos conteúdos.Além disso, elas enfatizam a importância da manutenção de um diário de pesquisa e sugerem formas de produzi-lo.Este volume parte das mais recentes pesquisas sobre o ensino e aprendizagem de leitura e produção de textos e sobre as características dos gêneros aqui enfocados e faz parte da coleção ""Leitura e produção de textos técnicos e acadêmicos"" que tem como objetivo suprir a falta de material didático para a produção de gêneros textuais utilizados na escola e nos meios universitários.", 2007," Ana Rachel Machado, Eliane Lousada e Lília Santos Abreu-tardelli", 116, 978-85-8845-643-3, Português,http://arquivos.biblioceeteps.com.br/d/19140.jpg?v=201427030936&w=320,4,3,1
R588n,Noções sobre técnicas de pesquisa e comunicação científica," O início do século XXI veio por consolidar algumas importantes mudanças no comportamento das sociedades. a ciência, o conhecimento e a comunicação deixaram de ser uma área restrita, relativamente, a poucos para abranger quase todos os extratos sociais.", 2011," Ripoli, Tomaz Caetano Cannavam e  Tomaz Caetano Cannavam", 229, 978-85-9044-406-0, Português,http://arquivos.biblioceeteps.com.br/d/23823.jpg?v=201412061045&w=320,4,3,1
R916i,Introdução ao projeto de pesquisa científica," O autor descreve, de modo sumário, o que é a pesquisa, quais as bases lógicas sobre as quais ela se assenta e o significado e modalidades da observação. Explica o que é pesquisa experimental e pesquisa descritiva. Diz quais os momentos e processos que a compõem. Faz indicações práticas e apresenta um modelo didático de Projeto de Pesquisa a ser elaborado por quem pretende efetivá-la.", 1999," Rudio, Franz Victor e  Franz Victor", 144, 978-85-3260-027-1, Português,http://arquivos.biblioceeteps.com.br/d/22902.jpg?v=201412061022&w=320,4,3,1
S491m,Metodologia do Trabalho Científico," Este livro te por objetivo apresentar aos estudantes e universitários alguns subsídios teóricos e práticos para o enfrentamento das várias tarefas que lhes serão solicitadas ao longo do desenvolvimento do processo ensino/aprendizagem de sua formação acadêmica. Trata-se, pois, de uma iniciação teórica, metodológica e prática ao trabalho científico a ser desencadeado desde o início de sua vida universitária. Mas, pela sua própria natureza é também eficiente ferramenta para o trabalho docente em sua interface com a aprendizagem dos alunos, podendo configurar-se como um bom roteiro para a intervenção didático-pedagógica dos professores, quaisquer que sejam suas áreas ou matérias de ensino. Além dos elementos conceituais que definem e explicam a natureza do conhecimento científico, são apresentadas diretrizes para o entendimento e a aplicação das atividades lógicas e técnicas relacionadas com a prática científica. Com esses instrumentos, os estudantes e professores poderão conseguir maior aprofundamento na ciência, nas artes e na filosofia, o que, afinal, é o objetivo central do ensino e da aprendizagem na Universidade.", 1996," Severino, Antônio Joaquim", 272, 85-2490-050-4, Português,http://arquivos.biblioceeteps.com.br/d/133964.jpg?v=201821080152&w=320,4,3,1
S491mt,Metodologia do Trabalho Científico," Este livro te por objetivo apresentar aos estudantes e universitários alguns subsídios teóricos e práticos para o enfrentamento das várias tarefas que lhes serão solicitadas ao longo do desenvolvimento do processo ensino/aprendizagem de sua formação acadêmica. Trata-se, pois, de uma iniciação teórica, metodológica e prática ao trabalho científico a ser desencadeado desde o início de sua vida universitária. Mas, pela sua própria natureza é também eficiente ferramenta para o trabalho docente em sua interface com a aprendizagem dos alunos, podendo configurar-se como um bom roteiro para a intervenção didático-pedagógica dos professores, quaisquer que sejam suas áreas ou matérias de ensino. Além dos elementos conceituais que definem e explicam a natureza do conhecimento científico, são apresentadas diretrizes para o entendimento e a aplicação das atividades lógicas e técnicas relacionadas com a prática científica. Com esses instrumentos, os estudantes e professores poderão conseguir maior aprofundamento na ciência, nas artes e na filosofia, o que, afinal, é o objetivo central do ensino e da aprendizagem na Universidade.", 1996," Severino, Antônio Joaquim", 272, 85-2490-050-4, Português,http://arquivos.biblioceeteps.com.br/d/133964.jpg?v=201821080152&w=320,4,3,1
S498m,Metodologia do Trabalho Científico," Este livro te por objetivo apresentar aos estudantes e universitários alguns subsídios teóricos e práticos para o enfrentamento das várias tarefas que lhes serão solicitadas ao longo do desenvolvimento do processo ensino/aprendizagem de sua formação acadêmica. Trata-se, pois, de uma iniciação teórica, metodológica e prática ao trabalho científico a ser desencadeado desde o início de sua vida universitária. Mas, pela sua própria natureza é também eficiente ferramenta para o trabalho docente em sua interface com a aprendizagem dos alunos, podendo configurar-se como um bom roteiro para a intervenção didático-pedagógica dos professores, quaisquer que sejam suas áreas ou matérias de ensino. Além dos elementos conceituais que definem e explicam a natureza do conhecimento científico, são apresentadas diretrizes para o entendimento e a aplicação das atividades lógicas e técnicas relacionadas com a prática científica. Com esses instrumentos, os estudantes e professores poderão conseguir maior aprofundamento na ciência, nas artes e na filosofia, o que, afinal, é o objetivo central do ensino e da aprendizagem na Universidade.", 1996," Severino, Antônio Joaquim", 272, 85-2490-050-4, Português,http://arquivos.biblioceeteps.com.br/d/133964.jpg?v=201821080152&w=320,4,3,1
T444m,Metodologia da Pesquisa-ação," A pesquisa participante busca o envolvimento da comunidade na análise de sua própria realidade. Ela se desenvolve a partir da interação entre pesquisadores e membros das situações investigadas, enquanto a pesquisa-ação ocorre em estreita associação com uma ação ou com a resolução de um problema coletivo.Demo (1985) não faz distinção entre pesquisa participante e pesquisa-ação. Segundo esse pesquisador, ambas têm o compromisso com a prática. Contudo, esse mesmo autor nos diz que o movimento da pesquisa participante nasceu da decepção advinda do método tradicional. É como se esse método não fosse capaz de revelar (explicitar) a realidade social.Michel Thiollent, em “Metodologia da pesquisa-ação” define pesquisa-ação como um tipo de pesquisa social com base empírica que seria concebida em estreita associação com a resolução de um problema coletivo no qual os pesquisadores e os participantes estariam envolvidos de modo cooperativo. Para alguns, a pesquisa-ação é uma forma de engajamento sócio-político à serviço das classes populares.A pesquisa participante apresenta, segundo Demo (1985) três momentos essenciais, a saber: 1- o autodiagnóstico, que seria a confluência entre conhecimento científico e saber popular. Este momento conduziria à cidadania e esta, por sua vez, estaria à serviço da autonomia; 2- A estratégia de enfrentamento prático dos problemas encontrados- seria o percurso entre a teoria e a prática. 3- Por fim, o momento da necessidade de organização política- que consistira na definição da estratégia de enfrentamento do problema propriamente dito.Seja na pesquisa participante ou na pesquisa-ação, o princípio ético de que o saber científico não é tudo é fundamental. Afinal, não importamos das ciências sociais a suposta “neutralidade”. Deste modo, resguardar nossa posição sem se contaminar pelo senso comum e nem influenciar os resultados de uma pesquisa é sempre o mais complicado.", 2000," Thiollent, Michel e  Michel", 108, 85-2490-029-6, Português,http://arquivos.biblioceeteps.com.br/d/22792.jpg?v=201420061141&w=320,4,3,1
V494p,Projetos e relatórios de pesquisa em administração," Este livro é de ordem prática. Com base em um modelo, apresenta informações, dicas e exemplos a quem sepropõe a desenvolver projetos e relatórios de pesquisa. Utiliza-se de linguagem simples, amistosa,para mostrar como articular as partes de um projeto e de um relatório, de modo que o trabalho final faça sentido. Embora seu foco seja dirigido à área de administração, as informações nele contidas revelam-se úteis também na elaboração de relatórios nas áreas de ci~encias sociais e de artigos ou textos de qualquer natureza.Aborda as seguintes questões:* Delimitação do trabalho científico.* Começo do projeto de pesquisa.* Do problema ao referencial teórico.* Definição da metodologia.* Término do projeto de pesquisa.* Relatório de pesquisa.", 2011, Sylvia Constant Vergara, 94, 978-85-2246-508-8, Português,http://arquivos.biblioceeteps.com.br/d/5341.jpg?v=201315020859&w=320,4,3,1
V494pr,Projetos e relatórios de pesquisa em administração," Este livro é de ordem prática. Com base em um modelo, apresenta informações, dicas e exemplos a quem sepropõe a desenvolver projetos e relatórios de pesquisa. Utiliza-se de linguagem simples, amistosa,para mostrar como articular as partes de um projeto e de um relatório, de modo que o trabalho final faça sentido. Embora seu foco seja dirigido à área de administração, as informações nele contidas revelam-se úteis também na elaboração de relatórios nas áreas de ci~encias sociais e de artigos ou textos de qualquer natureza.Aborda as seguintes questões:* Delimitação do trabalho científico.* Começo do projeto de pesquisa.* Do problema ao referencial teórico.* Definição da metodologia.* Término do projeto de pesquisa.* Relatório de pesquisa.", 2011, Sylvia Constant Vergara, 94, 978-85-2246-508-8, Português,http://arquivos.biblioceeteps.com.br/d/5341.jpg?v=201315020859&w=320,4,3,1
P436s,O Setor de Internet no Brasil," Originalmente apresentado como dissertação do autor como requisito para obtenção do título de mestre em Ciências Econômicas (mestrado - Universidade Estadual de Campinas). 33º Prêmio BNDES de Economia, 2013, 1º lugar.", 2014, Marcelo de Carvalho Pereira, 468, 978-85-8754-550-3, Português,,4,3,1
H564d,Data processing administration,, 1971, Thomas Harrell e Martin l. rubin, 600, 08-7769-057-X, Inglês,http://arquivos.biblioceeteps.com.br/d/22358.jpg?v=201419080931&w=320,4,3,1
J12p,Principles of program design,, 1975, M. A. Jackson , 299, 01-2379-050-6, Inglês,http://arquivos.biblioceeteps.com.br/d/22136.jpg?v=201419080904&w=320,4,3,1
B546g,Guia Prático de Informática," Este ""Guia Prático de Informática"" apresenta, passo a passo, instruções dos programas - MS-DOS, Windows XP, Windows Vista, Word 2007, Excel 2007, CorelDRAW X3 e Photoshop CS3, abordando, de modo conciso, o início da era da informática até a criação dos mais recentes programas.Indicado tanto para usuários iniciantes na informática, como para os que têm um conhecimento mais avançado, pois trata-se de um guia profissional, voltado para o mercado de trabalho, ideal para ser utilizado nas áreas de administração, engenharia, vendas, finanças, publicidade, programação, criação, entre outras.", 2008, Danilo Bertola e Marcel Arle, 386, 978-85-6154-401-0, Português,http://arquivos.biblioceeteps.com.br/d/4768.jpg?v=201305040431&w=320,4,3,1
